horario,tecla
12:27:40,D
12:27:40,D
12:27:40,D
12:27:40,D
12:27:40,D
12:27:40,D
12:27:40,D
12:27:40,D
12:27:40,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:41,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:42,D
12:27:43,D
12:27:43,W
12:27:43,W
12:27:43,W
12:27:43,W
12:27:43,W
12:27:43,W
12:27:43,W
12:27:43,W
12:27:43,W
12:27:43,W
12:27:43,W
12:27:43,W
12:27:44,W
12:27:44,W
12:27:44,W
12:27:44,W
12:27:44,W
12:27:44,W
12:27:44,A
12:27:44,A
12:27:44,A
12:27:44,A
12:27:44,A
12:27:44,A
12:27:44,A
12:27:44,A
12:27:44,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:45,A
12:27:46,S
12:27:46,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,A
12:27:47,S
